calBP,PrDens,PrDens_Taphonomic,Site
49469,0.000445622,0.000282915,Border Cave
49468,0.000445646,0.000282922,Border Cave
49467,0.000445671,0.00028293,Border Cave
49466,0.000445695,0.000282938,Border Cave
49465,0.00044572,0.000282946,Border Cave
49464,0.000445744,0.000282954,Border Cave
49463,0.000445768,0.000282962,Border Cave
49462,0.000445793,0.00028297,Border Cave
49461,0.000445817,0.000282977,Border Cave
49460,0.000445842,0.000282985,Border Cave
49459,0.000445866,0.000282993,Border Cave
49458,0.00044589,0.000283001,Border Cave
49457,0.000445914,0.000283009,Border Cave
49456,0.000445939,0.000283016,Border Cave
49455,0.000445963,0.000283024,Border Cave
49454,0.000445987,0.000283032,Border Cave
49453,0.000446012,0.00028304,Border Cave
49452,0.000446036,0.000283048,Border Cave
49451,0.00044606,0.000283055,Border Cave
49450,0.000446084,0.000283063,Border Cave
49449,0.000446109,0.000283071,Border Cave
49448,0.000446133,0.000283079,Border Cave
49447,0.000446157,0.000283086,Border Cave
49446,0.000446182,0.000283094,Border Cave
49445,0.000446206,0.000283102,Border Cave
49444,0.00044623,0.00028311,Border Cave
49443,0.000446254,0.000283118,Border Cave
49442,0.000446279,0.000283125,Border Cave
49441,0.000446303,0.000283133,Border Cave
49440,0.000446327,0.000283141,Border Cave
49439,0.00044634,0.000283141,Border Cave
49438,0.000446352,0.000283141,Border Cave
49437,0.000446364,0.000283141,Border Cave
49436,0.000446376,0.000283141,Border Cave
49435,0.000446388,0.000283142,Border Cave
49434,0.000446401,0.000283142,Border Cave
49433,0.000446413,0.000283142,Border Cave
49432,0.000446425,0.000283142,Border Cave
49431,0.000446437,0.000283142,Border Cave
49430,0.00044645,0.000283142,Border Cave
49429,0.000446462,0.000283142,Border Cave
49428,0.000446474,0.000283142,Border Cave
49427,0.000446486,0.000283143,Border Cave
49426,0.000446499,0.000283143,Border Cave
49425,0.000446511,0.000283143,Border Cave
49424,0.000446523,0.000283143,Border Cave
49423,0.000446535,0.000283143,Border Cave
49422,0.000446548,0.000283143,Border Cave
49421,0.00044656,0.000283143,Border Cave
49420,0.000446572,0.000283143,Border Cave
49419,0.000446584,0.000283144,Border Cave
49418,0.000446597,0.000283144,Border Cave
49417,0.000446609,0.000283144,Border Cave
49416,0.000446621,0.000283144,Border Cave
49415,0.000446634,0.000283144,Border Cave
49414,0.000446646,0.000283145,Border Cave
49413,0.000446658,0.000283145,Border Cave
49412,0.000446671,0.000283145,Border Cave
49411,0.000446683,0.000283145,Border Cave
49410,0.000446695,0.000283145,Border Cave
49409,0.000446708,0.000283145,Border Cave
49408,0.00044672,0.000283146,Border Cave
49407,0.000446733,0.000283146,Border Cave
49406,0.000446745,0.000283146,Border Cave
49405,0.000446757,0.000283146,Border Cave
49404,0.00044677,0.000283146,Border Cave
49403,0.000446782,0.000283146,Border Cave
49402,0.000446794,0.000283147,Border Cave
49401,0.000446807,0.000283147,Border Cave
49400,0.000446819,0.000283147,Border Cave
49399,0.000446819,0.000283139,Border Cave
49398,0.000446819,0.000283132,Border Cave
49397,0.000446819,0.000283124,Border Cave
49396,0.000446819,0.000283116,Border Cave
49395,0.000446819,0.000283109,Border Cave
49394,0.000446819,0.000283101,Border Cave
49393,0.000446819,0.000283094,Border Cave
49392,0.000446819,0.000283086,Border Cave
49391,0.000446819,0.000283078,Border Cave
49390,0.000446819,0.000283071,Border Cave
49389,0.000446819,0.000283063,Border Cave
49388,0.000446819,0.000283055,Border Cave
49387,0.000446819,0.000283048,Border Cave
49386,0.000446819,0.00028304,Border Cave
49385,0.000446819,0.000283032,Border Cave
49384,0.000446819,0.000283025,Border Cave
49383,0.000446819,0.000283017,Border Cave
49382,0.000446819,0.000283009,Border Cave
49381,0.000446819,0.000283002,Border Cave
49380,0.000446819,0.000282994,Border Cave
49379,0.000446819,0.000282987,Border Cave
49378,0.000446819,0.000282979,Border Cave
49377,0.000446819,0.000282971,Border Cave
