calBP,PrDens,PrDens_Taphonomic,Site
49424,0.000446523,0.000283143,Border Cave C14
49423,0.000446535,0.000283143,Border Cave C14
49422,0.000446548,0.000283143,Border Cave C14
49421,0.00044656,0.000283143,Border Cave C14
49420,0.000446572,0.000283143,Border Cave C14
49419,0.000446584,0.000283144,Border Cave C14
49418,0.000446597,0.000283144,Border Cave C14
49417,0.000446609,0.000283144,Border Cave C14
49416,0.000446621,0.000283144,Border Cave C14
49415,0.000446634,0.000283144,Border Cave C14
49414,0.000446646,0.000283145,Border Cave C14
49413,0.000446658,0.000283145,Border Cave C14
49412,0.000446671,0.000283145,Border Cave C14
49411,0.000446683,0.000283145,Border Cave C14
49410,0.000446695,0.000283145,Border Cave C14
49409,0.000446708,0.000283145,Border Cave C14
49408,0.00044672,0.000283146,Border Cave C14
49407,0.000446733,0.000283146,Border Cave C14
49406,0.000446745,0.000283146,Border Cave C14
49405,0.000446757,0.000283146,Border Cave C14
49404,0.00044677,0.000283146,Border Cave C14
49403,0.000446782,0.000283146,Border Cave C14
49402,0.000446794,0.000283147,Border Cave C14
49401,0.000446807,0.000283147,Border Cave C14
49400,0.000446819,0.000283147,Border Cave C14
49399,0.000446819,0.000283139,Border Cave C14
49398,0.000446819,0.000283132,Border Cave C14
49397,0.000446819,0.000283124,Border Cave C14
