"calBP","PrDens"
54887,1.60287999295762e-05
54886,1.60409648784591e-05
54885,1.60531402427062e-05
54884,1.60653260312477e-05
54883,1.60775222530207e-05
54882,1.60897289169687e-05
54881,1.61019460320418e-05
54880,1.61141736071967e-05
54879,1.61254141698207e-05
54878,1.61366646189198e-05
54877,1.61479249636676e-05
54876,1.61591952132452e-05
54875,1.6170475376842e-05
54874,1.61817654636551e-05
54873,1.61930654828894e-05
54872,1.6204375443758e-05
54871,1.62156953554811e-05
54870,1.62270252272874e-05
54869,1.62383650684134e-05
54868,1.62497148881032e-05
54867,1.62610746956092e-05
54866,1.62724445001911e-05
54865,1.62838243111169e-05
54864,1.62952141376625e-05
54863,1.63066139891114e-05
54862,1.63180238747556e-05
54861,1.63294438038941e-05
54860,1.63408737858345e-05
54859,1.63522895514377e-05
54858,1.63637145879692e-05
54857,1.63751489030812e-05
54856,1.63865925044306e-05
54855,1.63980453996805e-05
54854,1.6409507596499e-05
54853,1.642097910256e-05
54852,1.64324599255431e-05
54851,1.64439500731329e-05
54850,1.64554495530201e-05
54849,1.64669583729007e-05
54848,1.64784765404761e-05
54847,1.64900040634535e-05
54846,1.65015409495454e-05
54845,1.65130872064702e-05
54844,1.65246428419515e-05
54843,1.65362078637184e-05
54842,1.6547782279506e-05
54841,1.65593660970543e-05
54840,1.65709593241097e-05
54839,1.65815533764543e-05
54838,1.65921563313558e-05
54837,1.66027681967977e-05
54836,1.66133889807691e-05
54835,1.66240186912669e-05
54834,1.66346573362938e-05
54833,1.66453049238594e-05
54832,1.66559614619804e-05
54831,1.66666269586794e-05
54830,1.66773014219866e-05
54829,1.66879848599381e-05
54828,1.6698677280577e-05
54827,1.67093786919534e-05
54826,1.67200891021234e-05
54825,1.67308085191506e-05
54824,1.67415369511048e-05
54823,1.67522744060623e-05
54822,1.67630208921069e-05
54821,1.67737764173283e-05
54820,1.67845409898236e-05
54819,1.67962876972478e-05
54818,1.68080432115688e-05
54817,1.68198075391538e-05
54816,1.68315806863742e-05
54815,1.68433626596046e-05
54814,1.68551534652236e-05
54813,1.68669531096135e-05
54812,1.68787615991602e-05
54811,1.68905789402532e-05
54810,1.6902405139286e-05
54809,1.69142402026554e-05
54808,1.69260841367623e-05
54807,1.6937936948011e-05
54806,1.69497986428097e-05
54805,1.69616692275701e-05
54804,1.69735487087079e-05
54803,1.69854370926421e-05
54802,1.69973343857958e-05
54801,1.70092405945954e-05
54800,1.70211557254715e-05
54799,1.70310413027893e-05
54798,1.70409348182982e-05
54797,1.70508362788774e-05
54796,1.70607456914119e-05
54795,1.7070663062792e-05
54794,1.7080588399914e-05
54793,1.70905217096794e-05
54792,1.71004629989958e-05
54791,1.71104122747761e-05
54790,1.71203695439388e-05
54789,1.71303348134083e-05
54788,1.71403080901144e-05
54787,1.71502893809926e-05
54786,1.71602786929841e-05
54785,1.71702760330358e-05
54784,1.71802814081e-05
54783,1.71902948251349e-05
54782,1.72003162911043e-05
54781,1.72103458129775e-05
54780,1.72203833977297e-05
54779,1.7232475665908e-05
54778,1.72445770012559e-05
54777,1.72566874102986e-05
54776,1.72688068995651e-05
54775,1.72809354755879e-05
54774,1.72930731449034e-05
54773,1.73052199140517e-05
54772,1.73173757895765e-05
54771,1.73295407780254e-05
54770,1.73417148859495e-05
54769,1.73538981199038e-05
54768,1.73660904864469e-05
54767,1.73782919921412e-05
54766,1.73905026435529e-05
54765,1.74027224472517e-05
54764,1.74149514098111e-05
54763,1.74271895378085e-05
54762,1.74394368378248e-05
54761,1.74516933164446e-05
54760,1.74639589802565e-05
54759,1.74731464528061e-05
54758,1.74823417829079e-05
54757,1.74915449779854e-05
54756,1.75007560454689e-05
54755,1.75099749927957e-05
54754,1.75192018274099e-05
54753,1.75284365567622e-05
54752,1.75376791883103e-05
54751,1.75469297295189e-05
54750,1.75561881878593e-05
54749,1.75654545708097e-05
54748,1.75747288858553e-05
54747,1.75840111404879e-05
54746,1.75933013422064e-05
54745,1.76025994985164e-05
54744,1.76119056169305e-05
54743,1.76212197049682e-05
54742,1.76305417701558e-05
54741,1.76398718200264e-05
54740,1.76492098621202e-05
54739,1.76595152472364e-05
54738,1.76698281523402e-05
54737,1.76801485831451e-05
54736,1.7690476545369e-05
54735,1.77008120447332e-05
54734,1.77111550869633e-05
54733,1.77215056777889e-05
54732,1.77318638229428e-05
54731,1.77422295281624e-05
54730,1.77526027991884e-05
54729,1.77629836417658e-05
54728,1.77733720616435e-05
54727,1.77837680645739e-05
54726,1.77941716563137e-05
54725,1.78045828426232e-05
54724,1.78150016292667e-05
54723,1.78254280220126e-05
54722,1.78358620266328e-05
54721,1.78463036489035e-05
54720,1.78567528946043e-05
54719,1.78672097695192e-05
54718,1.7877674279436e-05
54717,1.78881464301461e-05
54716,1.78986262274451e-05
54715,1.79091136771322e-05
54714,1.7919608785011e-05
54713,1.79301115568886e-05
54712,1.7940621998576e-05
54711,1.79511401158886e-05
54710,1.79616659146448e-05
54709,1.79721994006678e-05
54708,1.79827405797845e-05
54707,1.79932894578252e-05
54706,1.80038460406249e-05
54705,1.80144103340217e-05
54704,1.80249823438582e-05
54703,1.80355620759811e-05
54702,1.80461495362401e-05
54701,1.80567447304898e-05
54700,1.80673476645881e-05
54699,1.80769177169739e-05
54698,1.80864951480966e-05
54697,1.80960799641175e-05
54696,1.81056721712032e-05
54695,1.81152717755247e-05
54694,1.81248787832583e-05
54693,1.81344932005848e-05
54692,1.81441150336899e-05
54691,1.81537442887643e-05
54690,1.81633809720033e-05
54689,1.81730250896072e-05
54688,1.81826766477813e-05
54687,1.81923356527355e-05
54686,1.82020021106847e-05
54685,1.82116760278484e-05
54684,1.82213574104515e-05
54683,1.82310462647234e-05
54682,1.82407425968982e-05
54681,1.82504464132153e-05
54680,1.82601577199186e-05
54679,1.82687347177714e-05
54678,1.82773180646646e-05
