"calBP","PrDens"
54229,4.42045026618866e-05
54228,4.42064038962729e-05
54227,4.4208305318743e-05
54226,4.42102069292799e-05
54225,4.42121087278663e-05
54224,4.42140107144849e-05
54223,4.42159128891188e-05
54222,4.42178152517506e-05
54221,4.4219717802363e-05
54220,4.42216205409387e-05
54219,4.4222422966205e-05
54218,4.4223225550647e-05
54217,4.42240282942732e-05
54216,4.4224831197092e-05
54215,4.42256342591118e-05
54214,4.4226437480341e-05
54213,4.42272408607882e-05
54212,4.42280444004617e-05
54211,4.42288480993697e-05
54210,4.42296519575207e-05
54209,4.4230455974923e-05
54208,4.42312601515849e-05
54207,4.42320644875148e-05
54206,4.42328689827209e-05
54205,4.42336736372113e-05
54204,4.42344784509945e-05
54203,4.42352834240785e-05
54202,4.42360885564717e-05
54201,4.42368938481822e-05
54200,4.4237699299218e-05
54199,4.42385376927528e-05
54198,4.42393762145229e-05
54197,4.42402148645313e-05
54196,4.42410536427806e-05
54195,4.4241892549274e-05
54194,4.42427315840142e-05
54193,4.42435707470041e-05
54192,4.42444100382467e-05
54191,4.42452494577446e-05
54190,4.42460890055008e-05
54189,4.42469286815181e-05
54188,4.42477684857993e-05
54187,4.42486084183473e-05
54186,4.42494484791647e-05
54185,4.42502886682543e-05
54184,4.4251128985619e-05
54183,4.42519694312615e-05
54182,4.42528100051846e-05
54181,4.42536507073909e-05
54180,4.42544915378831e-05
54179,4.42552675197323e-05
54178,4.42560436957226e-05
54177,4.42568200658694e-05
54176,4.42575966301877e-05
54175,4.42583733886928e-05
54174,4.42591503413999e-05
54173,4.42599274883241e-05
54172,4.42607048294808e-05
54171,4.42614823648846e-05
54170,4.42622600945509e-05
54169,4.42630380184947e-05
54168,4.42638161367309e-05
54167,4.42645944492747e-05
54166,4.42653729561407e-05
54165,4.4266151657344e-05
54164,4.42669305528995e-05
54163,4.42677096428221e-05
54162,4.42684889271267e-05
54161,4.42692684058278e-05
54160,4.42700480789404e-05
54159,4.42708921935239e-05
54158,4.42717364365028e-05
54157,4.42725808078796e-05
54156,4.42734253076565e-05
54155,4.4274269935836e-05
54154,4.42751146924203e-05
54153,4.42759595774119e-05
54152,4.42768045908132e-05
54151,4.42776497326264e-05
54150,4.42784950028537e-05
54149,4.42793404014976e-05
54148,4.42801859285603e-05
54147,4.42810315840443e-05
54146,4.42818773679515e-05
54145,4.42827232802843e-05
54144,4.4283569321045e-05
54143,4.42844154902358e-05
54142,4.4285261787859e-05
54141,4.42861082139167e-05
54140,4.42869547684111e-05
54139,4.42867000657969e-05
54138,4.42864454766234e-05
54137,4.42861910009253e-05
54136,4.42859366387374e-05
54135,4.42856823900941e-05
54134,4.42854282550302e-05
54133,4.42851742335804e-05
54132,4.42849203257792e-05
54131,4.42846665316612e-05
54130,4.4284412851261e-05
54129,4.42841592846132e-05
54128,4.42839058317524e-05
54127,4.42836524927131e-05
54126,4.42833992675298e-05
54125,4.4283146156237e-05
54124,4.42828931588693e-05
54123,4.42826402754611e-05
54122,4.42823875060469e-05
54121,4.42821348506611e-05
54120,4.42818823093382e-05
54119,4.42816298821127e-05
54118,4.42813775690189e-05
54117,4.42811253700912e-05
54116,4.4280873285364e-05
54115,4.42806213148718e-05
54114,4.42803694586487e-05
54113,4.42801177167293e-05
54112,4.42798660891477e-05
54111,4.42796145759384e-05
54110,4.42793631771356e-05
54109,4.42791118927735e-05
54108,4.42788607228865e-05
54107,4.42786096675089e-05
54106,4.42783587266747e-05
54105,4.42781079004184e-05
54104,4.4277857188774e-05
54103,4.42776065917758e-05
54102,4.4277356109458e-05
54101,4.42771057418546e-05
54100,4.4276855489e-05
54099,4.4276038941347e-05
54098,4.42752225203226e-05
54097,4.42744062259947e-05
54096,4.4273590058431e-05
54095,4.42727740176993e-05
54094,4.42719581038675e-05
54093,4.42711423170033e-05
54092,4.42703266571743e-05
54091,4.42695111244483e-05
54090,4.4268695718893e-05
54089,4.4267880440576e-05
54088,4.42670652895651e-05
54087,4.42662502659276e-05
54086,4.42654353697315e-05
54085,4.42646206010439e-05
54084,4.42638059599327e-05
54083,4.42629914464654e-05
54082,4.42621770607092e-05
54081,4.4261362802732e-05
54080,4.42605486726009e-05
54079,4.42602699850885e-05
54078,4.42599914439872e-05
54077,4.42597130493453e-05
54076,4.42594348012107e-05
54075,4.42591566996314e-05
54074,4.42588787446556e-05
54073,4.42586009363312e-05
54072,4.42583232747061e-05
54071,4.42580457598284e-05
54070,4.42577683917458e-05
54069,4.42574911705065e-05
54068,4.42572140961581e-05
54067,4.42569371687486e-05
54066,4.42566603883258e-05
54065,4.42563837549375e-05
54064,4.42561072686314e-05
54063,4.42558309294555e-05
54062,4.42555547374572e-05
54061,4.42552786926845e-05
54060,4.42550027951849e-05
54059,4.4253656008703e-05
54058,4.42523093375217e-05
54057,4.42509627817289e-05
54056,4.42496163414126e-05
54055,4.42482700166607e-05
54054,4.4246923807561e-05
54053,4.42455777142014e-05
54052,4.42442317366696e-05
54051,4.42428858750534e-05
54050,4.42415401294407e-05
54049,4.42401944999191e-05
54048,4.42388489865764e-05
54047,4.42375035895001e-05
54046,4.42361583087782e-05
54045,4.42348131444981e-05
54044,4.42334680967475e-05
54043,4.4232123165614e-05
54042,4.42307783511851e-05
54041,4.42294336535484e-05
54040,4.42280890727915e-05
54039,4.42267749589337e-05
54038,4.42254609353996e-05
54037,4.42241470022542e-05
54036,4.42228331595631e-05
54035,4.42215194073915e-05
54034,4.42202057458047e-05
54033,4.4218892174868e-05
54032,4.42175786946466e-05
54031,4.42162653052058e-05
54030,4.42149520066108e-05
54029,4.42136387989268e-05
54028,4.4212325682219e-05
54027,4.42110126565526e-05
54026,4.42096997219927e-05
54025,4.42083868786046e-05
54024,4.42070741264533e-05
54023,4.4205761465604e-05
54022,4.42044488961217e-05
54021,4.42031364180717e-05
54020,4.42018240315188e-05
54019,4.4199945914715e-05
54018,4.41980679075193e-05
54017,4.41961900100419e-05
54016,4.41943122223927e-05
54015,4.41924345446821e-05
54014,4.41905569770199e-05
54013,4.41886795195163e-05
54012,4.41868021722814e-05
54011,4.4184924935425e-05
54010,4.41830478090572e-05
54009,4.41811707932878e-05
54008,4.41792938882269e-05
54007,4.41774170939843e-05
54006,4.41755404106699e-05
54005,4.41736638383934e-05
